,ROB,IQ,WIDTH,IPC
1065,32,64,2,1.993620415
1066,32,64,3,2.795638803
1067,32,64,4,3.03674461
1068,32,64,5,3.109452736
1069,32,64,6,3.156565657
1070,32,64,7,3.169572108
1071,32,64,8,3.209242619
1072,32,64,9,3.196930946
1073,32,64,10,3.223726628
1074,32,64,11,3.224766204
1075,32,64,12,3.214400514
1076,32,64,13,3.231017771
1077,32,64,14,3.239390994
1078,32,64,15,3.242542153
1079,32,64,16,3.25414904
1080,32,64,17,3.234152652
1081,32,64,18,3.242542153
1082,32,64,19,3.242542153
1045,32,32,1,0.998901209
1046,32,32,2,1.993620415
1047,32,32,3,2.795638803
1048,32,32,4,3.03674461
1049,32,32,5,3.109452736
1050,32,32,6,3.156565657
1051,32,32,7,3.169572108
1052,32,32,8,3.209242619
1053,32,32,9,3.196930946
1054,32,32,10,3.223726628
1055,32,32,11,3.224766204
1056,32,32,12,3.214400514
1057,32,32,13,3.231017771
1058,32,32,14,3.239390994
1059,32,32,15,3.242542153
1060,32,32,16,3.25414904
1061,32,32,17,3.234152652
1062,32,32,18,3.242542153
1063,32,32,19,3.242542153
1026,32,16,1,0.998901209
1027,32,16,2,1.993620415
1028,32,16,3,2.795638803
1029,32,16,4,3.03674461
1030,32,16,5,3.109452736
1031,32,16,6,3.156565657
1032,32,16,7,3.169572108
1033,32,16,8,3.209242619
1034,32,16,9,3.196930946
1035,32,16,10,3.223726628
1036,32,16,11,3.224766204
1037,32,16,12,3.214400514
1038,32,16,13,3.231017771
1039,32,16,14,3.238341969
1040,32,16,15,3.2404407
1041,32,16,16,3.25414904
1042,32,16,17,3.233107016
1043,32,16,18,3.242542153
1044,32,16,19,3.242542153
1007,32,8,1,0.998901209
1008,32,8,2,1.993223042
1009,32,8,3,2.795638803
1010,32,8,4,3.033980583
1011,32,8,5,3.099814011
1012,32,8,6,3.122073057
1013,32,8,7,3.131850924
1014,32,8,8,3.158559697
1015,32,8,9,3.136762861
1016,32,8,10,3.164556962
1017,32,8,11,3.158559697
1018,32,8,12,3.158559697
1019,32,8,13,3.180661578
1020,32,8,14,3.175611305
1021,32,8,15,3.180661578
1022,32,8,16,3.183699459
1023,32,8,17,3.161555485
1024,32,8,18,3.187759005
1025,32,8,19,3.19284802
988,32,4,1,0.998901209
989,32,4,2,1.945525292
990,32,4,3,2.523977789
991,32,4,4,2.522068096
992,32,4,5,2.413709872
993,32,4,6,2.604166667
994,32,4,7,2.619858528
995,32,4,8,2.602811036
996,32,4,9,2.614379085
997,32,4,10,2.637826431
998,32,4,11,2.637826431
999,32,4,12,2.648305085
1000,32,4,13,2.659574468
1001,32,4,14,2.656042497
1002,32,4,15,2.649006623
1003,32,4,16,2.658867323
1004,32,4,17,2.644802962
1005,32,4,18,2.654632333
1006,32,4,19,2.663115846
969,32,2,1,0.998901209
970,32,2,2,1.587301587
971,32,2,3,1.457938475
972,32,2,4,1.601537476
973,32,2,5,1.55159038
974,32,2,6,1.622060016
975,32,2,7,1.597188947
976,32,2,8,1.628399284
977,32,2,9,1.620482904
978,32,2,10,1.639344262
979,32,2,11,1.629195178
980,32,2,12,1.647989453
